left_context,right_context
"--  Emma laughed, and replied,"," ""Ah!--so you say; but I cannot believe it."""
"And I am not only, not going to be married, at present, but have very little intention of ever marrying at all."""," ""I must see somebody very superior to any one I have seen yet, to be tempted; Mr. Elton, you know, (recollecting herself,) is out of the question: and I do _not_ wish to see any such person."
"""Ah!--so you say; but I cannot believe it.""","ecollecting herself,) is out of the question: and I do _not_ wish to see any such person."
"""I must see somebody very superior to any one I have seen yet, to be tempted; Mr. Elton, you know, (recollecting herself,)"," ""Dear me!--it is so odd to hear a woman talk so!"""
"If I were to marry, I must expect to repent it.""","-  ""I have none of the usual inducements of women to marry."
--," ""But then, to be an old maid at last, like Miss Bates!"""
"Fortune I do not want; employment I do not want; consequence I do not want: I believe few married women are half as much mistress of their husband's house as I am of Hartfield; and never, never could I expect to be so truly beloved and important; so always first and always right in any man's eyes as I am in my father's."""," ""That is as formidable an image as you could present, Harriet; and if I thought I should ever be like Miss Bates!"
"""But then, to be an old maid at last, like Miss Bates!"""," ""But still, you will be an old maid!"
"But between _us_, I am convinced there never can be any likeness, except in being unmarried."""," ""Never mind, Harriet, I shall not be a poor old maid; and it is poverty only which makes celibacy contemptible to a generous public!"
"and that's so dreadful!"""," ""Dear me!"
"Poverty certainly has not contracted her mind: I really believe, if she had only a shilling in the world, she would be very likely to give away sixpence of it; and nobody is afraid of her: that is a great charm."""," ""If I know myself, Harriet, mine is an active, busy mind, with a great many independent resources; and I do not perceive why I should be more in want of employment at forty or fifty than one-and-twenty."
"how shall you employ yourself when you grow old?"""," ""Do you know Miss Bates's niece?"
"My nephews and nieces!--I shall often have a niece with me."""," ""Oh!"
"That is, I know you must have seen her a hundred times--but are you acquainted?"""," They were now approaching the cottage, and all idle topics were superseded."
"In the present instance, it was sickness and poverty together which she came to visit; and after remaining there as long as she could give comfort or advice, she quitted the cottage with such an impression of the scene as made her say to Harriet, as they walked away,"," ""Very true,"" said Harriet."
"How trifling they make every thing else appear!--I feel now as if I could think of nothing but these poor creatures all the rest of the day; and yet, who can say how soon it may all vanish from my mind?"""," ""And really, I do not think the impression will soon be over,"" said Emma, as she crossed the low hedge, and tottering footstep which ended the narrow, slippery path through the cottage garden, and brought them into the lane again."
"one can think of nothing else.""","stopping to look once more at all the outward wretchedness of the place, and recall the still greater within."
"""I do not think it will,"" stopping to look once more at all the outward wretchedness of the place, and recall the still greater within.",said her companion.
"The lane made a slight bend; and when that bend was passed, Mr. Elton was immediately in sight; and so near as to give Emma time only to say farther,"," Harriet could just answer, ""Oh!"
"Harriet could just answer,",before the gentleman joined them.
Mr. Elton then turned back to accompany them.," Anxious to separate herself from them as far as she could, she soon afterwards took possession of a narrow footpath, a little raised on one side of the lane, leaving them together in the main road."
"Mr. Elton was still talking, still engaged in some interesting detail; and Emma experienced some disappointment when she found that he was only giving his fair companion an account of the yesterday's party at his friend Cole's, and that she was come in herself for the Stilton cheese, the north Wiltshire, the butter, the celery, the beet-root, and all the dessert."," They now walked on together quietly, till within view of the vicarage pales, when a sudden resolution, of at least getting Harriet into the house, made her again find something very much amiss about her boot, and fall behind to arrange it once more."
"She then broke the lace off short, and dexterously throwing it into a ditch, was presently obliged to entreat them to stop, and acknowledged her inability to put herself to rights so as to be able to walk home in tolerable comfort.", Mr. Elton looked all happiness at this proposition; and nothing could exceed his alertness and attention in conducting them into his house and endeavouring to make every thing appear to advantage.
"He had been most agreeable, most delightful; he had told Harriet that he had seen them go by, and had purposely followed them; other little gallantries and allusions had been dropt, but nothing serious."," Still, however, though every thing had not been accomplished by her ingenious device, she could not but flatter herself that it had been the occasion of much present enjoyment to both, and must be leading them forward to the great event."
"They had not been long seated and composed when Mr. Woodhouse, with a melancholy shake of the head and a sigh, called his daughter's attention to the sad change at Hartfield since she had been there last."," ""Oh yes, sir,"" cried she with ready sympathy, ""how you must miss her!"
"""Ah, my dear,"" said he, ""poor Miss Taylor--It is a grievous business."""," ""Pretty well, my dear--I hope--pretty well.--I do not know but that the place agrees with her tolerably."""
"And dear Emma, too!--What a dreadful loss to you both!--I have been so grieved for you.--I could not imagine how you could possibly do without her.--It is a sad change indeed.--But I hope she is pretty well, sir.""", Mr. John Knightley here asked Emma quietly whether there were any doubts of the air of Randalls.
Mr. John Knightley here asked Emma quietly whether there were any doubts of the air of Randalls.," ""Very much to the honour of both,"" was the handsome reply."
"Papa is only speaking his own regret.""",was the handsome reply.
"""Very much to the honour of both,"" was the handsome reply.",asked Isabella in the plaintive tone which just suited her father.
Mr. Woodhouse hesitated.--," ""Oh!"
"Mr. Woodhouse hesitated.--""Not near so often, my dear, as I could wish."""," ""Just as it should be,"" said Mr. John Knightley, ""and just as I hoped it was from your letters."
"Every body must be aware that Miss Taylor must be missed, but every body ought also to be assured that Mr. and Mrs. Weston do really prevent our missing her by any means to the extent we ourselves anticipated--which is the exact truth."""," ""Why, to be sure,"" said Mr. Woodhouse--""yes, certainly--I cannot deny that Mrs. Weston, poor Mrs. Weston, does come and see us pretty often--but then--she is always obliged to go away again."""
"I have been always telling you, my love, that I had no idea of the change being so very material to Hartfield as you apprehended; and now you have Emma's account, I hope you will be satisfied."""," ""It would be very hard upon Mr. Weston if she did not, papa.--You quite forget poor Mr."
"""Why, to be sure,"" said Mr. Woodhouse--""yes, certainly--I cannot deny that Mrs. Weston, poor Mrs. Weston, does come and see us pretty often--but then--she is always obliged to go away again."""," ""I think, indeed,"" said John Knightley pleasantly, ""that Mr. Weston has some little claim."
"Weston."""," ""Me, my love,"" cried his wife, hearing and understanding only in part.-- ""Are you talking about me?--I am sure nobody ought to be, or can be, a greater advocate for matrimony than I am; and if it had not been for the misery of her leaving Hartfield, I should never have thought of Miss Taylor but as the most fortunate woman in the world; and as to slighting Mr. Weston, that excellent Mr. Weston, I think there is nothing he does not deserve."
"As for Isabella, she has been married long enough to see the convenience of putting all the Mr. Westons aside as much as she can."""," ""Where is the young man?"""
"I shall never forget his flying Henry's kite for him that very windy day last Easter--and ever since his particular kindness last September twelvemonth in writing that note, at twelve o'clock at night, on purpose to assure me that there was no scarlet fever at Cobham, I have been convinced there could not be a more feeling heart nor a better man in existence.--If any body can deserve him, it must be Miss Taylor."""," ""He has not been here yet,"" replied Emma."
"""Has he been here on this occasion--or has he not?"""," ""But you should tell them of the letter, my dear,"" said her father."
"""There was a strong expectation of his coming soon after the marriage, but it ended in nothing; and I have not heard him mentioned lately."""," ""My dear papa, he is three-and-twenty."
"He is but young, and his uncle, perhaps--"""," ""Three-and-twenty!--is he indeed?--Well, I could not have thought it--and he was but two years old when he lost his poor mother!"
"You forget how time passes.""","My dear Madam,' but I forget how it went on; and it was signed 'F."
"I remember it was written from Weymouth, and dated Sept. 28th--and began, 'My dear Madam,'"," ""How very pleasing and proper of him!"""
"--I remember that perfectly."""," ""Nobody ever did think well of the Churchills, I fancy,"" observed Mr. John Knightley coolly."
"I really never could think well of any body who proposed such a thing to any body else."""," Emma could not like what bordered on a reflection on Mr. Weston, and had half a mind to take it up; but she struggled, and let it pass."
"Emma felt they were friends again; and the conviction giving her at first great satisfaction, and then a little sauciness, she could not help saying, as he was admiring the baby,"," ""If you were as much guided by nature in your estimate of men and women, and as little under the power of fancy and whim in your dealings with them, as you are where these children are concerned, we might always think alike."""
"As to men and women, our opinions are sometimes very different; but with regard to these children, I observe we never disagree."""," ""To be sure--our discordancies must always arise from my being in the wrong."""
"""If you were as much guided by nature in your estimate of men and women, and as little under the power of fancy and whim in your dealings with them, as you are where these children are concerned, we might always think alike."""," ""Yes,"" said he, smiling--""and reason good."
"""To be sure--our discordancies must always arise from my being in the wrong."""," ""A material difference then,"" she replied--""and no doubt you were much my superior in judgment at that period of our lives; but does not the lapse of one-and-twenty years bring our understandings a good deal nearer?"""
"I was sixteen years old when you were born."""," ""Yes--a good deal _nearer_."""
"""A material difference then,"" she replied--""and no doubt you were much my superior in judgment at that period of our lives; but does not the lapse of one-and-twenty years bring our understandings a good deal nearer?"""," ""But still, not near enough to give me a chance of being right, if we think differently."""
"""Yes--a good deal _nearer_."""," ""I have still the advantage of you by sixteen years' experience, and by not being a pretty young woman and a spoiled child."
"""But still, not near enough to give me a chance of being right, if we think differently."""," ""That's true,"" she cried--""very true."
"Tell your aunt, little Emma, that she ought to set you a better example than to be renewing old grievances, and that if she were not wrong before, she is now."""," ""A man cannot be more so,"" was his short, full answer."
"I only want to know that Mr. Martin is not very, very bitterly disappointed.""","was his short, full answer."
"""A man cannot be more so,"" was his short, full answer."," This had just taken place and with great cordiality, when John Knightley made his appearance, and ""How d'ye do, George?"""
"This had just taken place and with great cordiality, when John Knightley made his appearance, and","and ""John, how are you?"""
and,"succeeded in the true English style, burying under a calmness that seemed all but indifference, the real attachment which would have led either of them, if requisite, to do every thing for the good of the other."
"While they were thus comfortably occupied, Mr. Woodhouse was enjoying a full flow of happy regrets and fearful affection with his daughter."," Emma could not suppose any such thing, knowing as she did, that both the Mr. Knightleys were as unpersuadable on that article as herself;--and two basins only were ordered."
"After a little more discourse in praise of gruel, with some wondering at its not being taken every evening by every body, he proceeded to say, with an air of grave reflection,"," ""Mr. Wingfield most strenuously recommended it, sir--or we should not have gone."
"I never had much opinion of the sea air."""," ""Ah!"
"He recommended it for all the children, but particularly for the weakness in little Bella's throat,--both sea air and bathing."""," ""Come, come,"" cried Emma, feeling this to be an unsafe subject, ""I must beg you not to talk of the sea."
"I am sure it almost killed me once."""," ""Oh!"
"My dear Isabella, I have not heard you make one inquiry about Mr. Perry yet; and he never forgets you."""," ""Why, pretty well; but not quite well."
"good Mr. Perry--how is he, sir?"""," ""And Mrs. Perry and the children, how are they?"
"But then there is not so clever a man any where."""," ""I hope he will be here to-morrow, for I have a question or two to ask him about myself of some consequence."
"He will be so pleased to see my little ones."""," ""Oh!"
"And, my dear, whenever he comes, you had better let him look at little Bella's throat."""," ""It is not very likely, my dear, that bathing should have been of use to her--and if I had known you were wanting an embrocation, I would have spoken to--  ""You seem to me to have forgotten Mrs. and Miss Bates,"" said Emma, ""I have not heard one inquiry after them."""
"Either bathing has been of the greatest service to her, or else it is to be attributed to an excellent embrocation of Mr. Wingfield's, which we have been applying at times ever since August.""","ou seem to me to have forgotten Mrs. and Miss Bates,"" said Emma, ""I have not heard one inquiry after them."""
"""It is not very likely, my dear, that bathing should have been of use to her--and if I had known you were wanting an embrocation, I would have spoken to--"," ""Oh!"
"""It is not very likely, my dear, that bathing should have been of use to her--and if I had known you were wanting an embrocation, I would have spoken to--  ""You seem to me to have forgotten Mrs. and Miss Bates,"" said Emma, ""I have not heard one inquiry after them."""," ""Why, pretty well, my dear, upon the whole."
"Good old Mrs. Bates--I will call upon her to-morrow, and take my children.--They are always so pleased to see my children.--And that excellent Miss Bates!--such thorough worthy people!--How are they, sir?"""," ""How sorry I am!"
"But poor Mrs. Bates had a bad cold about a month ago."""," ""That has been a good deal the case, my dear; but not to the degree you mention."
"Mr. Wingfield told me that he has never known them more general or heavy--except when it has been quite an influenza."""," ""No, I do not know that Mr. Wingfield considers it _very_ sickly except--  ""Ah!"
"Perry does not call it altogether a sickly season.""","""Ah!"
"""No, I do not know that Mr. Wingfield considers it _very_ sickly except--"," ""No, indeed--_we_ are not at all in a bad air."
"so far off!--and the air so bad!"""," ""Ah!"
"Wingfield thinks the vicinity of Brunswick Square decidedly the most favourable as to air."""," ""I am sorry to hear you say so, sir; but I assure you, excepting those little nervous head-aches and palpitations which I am never entirely free from anywhere, I am quite well myself; and if the children were rather pale before they went to bed, it was only because they were a little more tired than usual, from their journey and the happiness of coming."
"Now I cannot say, that I think you are any of you looking well at present.""",turning her eyes with affectionate anxiety towards her husband.
"I trust, at least, that you do not think Mr. Knightley looking ill,"" turning her eyes with affectionate anxiety towards her husband."," ""What is the matter, sir?--Did you speak to me?"""
"I think Mr. John Knightley very far from looking well.""","cried Mr. John Knightley, hearing his own name."
"cried Mr. John Knightley, hearing his own name."," ""My dear Isabella,""--exclaimed he hastily--""pray do not concern yourself about my looks."
"I could have wished, however, as you know, that you had seen Mr. Wingfield before you left home."""," ""I did not thoroughly understand what you were telling your brother,""  cried Emma, ""about your friend Mr. Graham's intending to have a bailiff from Scotland, to look after his new estate."
"Be satisfied with doctoring and coddling yourself and the children, and let me look as I chuse."""," And she talked in this way so long and successfully that, when forced to give her attention again to her father and sister, she had nothing worse to hear than Isabella's kind inquiry after Jane Fairfax; and Jane Fairfax, though no great favourite with her in general, she was at that moment very happy to assist in praising."
"And she talked in this way so long and successfully that, when forced to give her attention again to her father and sister, she had nothing worse to hear than Isabella's kind inquiry after Jane Fairfax; and Jane Fairfax, though no great favourite with her in general, she was at that moment very happy to assist in praising."," Mr. Woodhouse agreed to it all, but added,  ""Our little friend Harriet Smith, however, is just such another pretty kind of young person."
"Mr. Woodhouse agreed to it all, but added,"," ""I am most happy to hear it--but only Jane Fairfax one knows to be so very accomplished and superior!--and exactly Emma's age."""
"Emma could not have a better companion than Harriet."""," This topic was discussed very happily, and others succeeded of similar moment, and passed away with similar harmony; but the evening did not close without a little return of agitation."
Here was a dangerous opening.,"said Mr. Woodhouse, shaking his head and fixing his eyes on her with tender concern.--The ejaculation in Emma's ear expressed, ""Ah!"
"After an interval of some minutes, however, he began with,"," ""But why should you be sorry, sir?--I assure you, it did the children a great deal of good."""
"After an interval of some minutes, however, he began with,  ""I shall always be very sorry that you went to the sea this autumn, instead of coming here."""," ""And, moreover, if you must go to the sea, it had better not have been to South End."
"""But why should you be sorry, sir?--I assure you, it did the children a great deal of good."""," ""I know there is such an idea with many people, but indeed it is quite a mistake, sir.--We all had our health perfectly well there, never found the least inconvenience from the mud; and Mr. Wingfield says it is entirely a mistake to suppose the place unhealthy; and I am sure he may be depended on, for he thoroughly understands the nature of the air, and his own brother and family have been there repeatedly."""
"Perry was surprized to hear you had fixed upon South End."""," ""You should have gone to Cromer, my dear, if you went anywhere.--Perry was a week at Cromer once, and he holds it to be the best of all the sea-bathing places."
"""I know there is such an idea with many people, but indeed it is quite a mistake, sir.--We all had our health perfectly well there, never found the least inconvenience from the mud; and Mr. Wingfield says it is entirely a mistake to suppose the place unhealthy; and I am sure he may be depended on, for he thoroughly understands the nature of the air, and his own brother and family have been there repeatedly."""," ""But, my dear sir, the difference of the journey;--only consider how great it would have been.--An hundred miles, perhaps, instead of forty."""
"You should have consulted Perry."""," ""Ah!"
"""But, my dear sir, the difference of the journey;--only consider how great it would have been.--An hundred miles, perhaps, instead of forty."""," Emma's attempts to stop her father had been vain; and when he had reached such a point as this, she could not wonder at her brother-in-law's breaking out."
"Emma's attempts to stop her father had been vain; and when he had reached such a point as this, she could not wonder at her brother-in-law's breaking out.","He paused--and growing cooler in a moment, added, with only sarcastic dryness, ""If Mr. Perry can tell me how to convey a wife and five children a distance of an hundred and thirty miles with no greater expense or inconvenience than a distance of forty, I should be as willing to prefer Cromer to South End as he could himself."""
"He paused--and growing cooler in a moment, added, with only sarcastic dryness,"," ""True, true,"" cried Mr. Knightley, with most ready interposition--""very true."
"He paused--and growing cooler in a moment, added, with only sarcastic dryness, ""If Mr. Perry can tell me how to convey a wife and five children a distance of an hundred and thirty miles with no greater expense or inconvenience than a distance of forty, I should be as willing to prefer Cromer to South End as he could himself."""," Mr. Woodhouse was rather agitated by such harsh reflections on his friend Perry, to whom he had, in fact, though unconsciously, been attributing many of his own feelings and expressions;--but the soothing attentions of his daughters gradually removed the present evil, and the immediate alertness of one brother, and better recollections of the other, prevented any renewal of it."
"Mr. Elton looked all alarm on the occasion, as he exclaimed,"," Emma, who was not really at all frightened herself, tranquillised this excess of apprehension by assurances of Mrs. Goddard's experience and care; but as there must still remain a degree of uneasiness which she could not wish to reason away, which she would rather feed and assist than not, she added soon afterwards--as if quite another subject,  ""It is so cold, so very cold--and looks and feels so very much like snow, that if it were to any other place or with any other party, I should really try not to go out to-day--and dissuade my father from venturing; but as he has made up his mind, and does not seem to feel the cold himself, I do not like to interfere, as I know it would be so great a disappointment to Mr. and Mrs. Weston."
"Emma, who was not really at all frightened herself, tranquillised this excess of apprehension by assurances of Mrs. Goddard's experience and care; but as there must still remain a degree of uneasiness which she could not wish to reason away, which she would rather feed and assist than not, she added soon afterwards--as if quite another subject,"," Mr. Elton looked as if he did not very well know what answer to make; which was exactly the case; for though very much gratified by the kind care of such a fair lady, and not liking to resist any advice of her's, he had not really the least inclination to give up the visit;--but Emma, too eager and busy in her own previous conceptions and views to hear him impartially, or see him with clear vision, was very well satisfied with his muttering acknowledgment of its being ""very cold, certainly very cold,"" and walked on, rejoicing in having extricated him from Randalls, and secured him the power of sending to inquire after Harriet every hour of the evening."
"Mr. Elton looked as if he did not very well know what answer to make; which was exactly the case; for though very much gratified by the kind care of such a fair lady, and not liking to resist any advice of her's, he had not really the least inclination to give up the visit;--but Emma, too eager and busy in her own previous conceptions and views to hear him impartially, or see him with clear vision, was very well satisfied with his muttering acknowledgment of its being","and walked on, rejoicing in having extricated him from Randalls, and secured him the power of sending to inquire after Harriet every hour of the evening."
"Mr. Elton looked as if he did not very well know what answer to make; which was exactly the case; for though very much gratified by the kind care of such a fair lady, and not liking to resist any advice of her's, he had not really the least inclination to give up the visit;--but Emma, too eager and busy in her own previous conceptions and views to hear him impartially, or see him with clear vision, was very well satisfied with his muttering acknowledgment of its being ""very cold, certainly very cold,"" and walked on, rejoicing in having extricated him from Randalls, and secured him the power of sending to inquire after Harriet every hour of the evening."," But hardly had she so spoken, when she found her brother was civilly offering a seat in his carriage, if the weather were Mr. Elton's only objection, and Mr. Elton actually accepting the offer with much prompt satisfaction."
"It was a done thing; Mr. Elton was to go, and never had his broad handsome face expressed more pleasure than at this moment; never had his smile been stronger, nor his eyes more exulting than when he next looked at her."," Soon afterwards Mr. Elton quitted them, and she could not but do him the justice of feeling that there was a great deal of sentiment in his manner of naming Harriet at parting; in the tone of his voice while assuring her that he should call at Mrs. Goddard's for news of her fair friend, the last thing before he prepared for the happiness of meeting her again, when he hoped to be able to give a better report; and he sighed and smiled himself off in a way that left the balance of approbation much in his favour."
"After a few minutes of entire silence between them, John Knightley began with--"," ""Mr. Elton's manners are not perfect,"" replied Emma; ""but where there is a wish to please, one ought to overlook, and one does overlook a great deal."
"With men he can be rational and unaffected, but when he has ladies to please, every feature works."""," ""Yes,"" said Mr. John Knightley presently, with some slyness, ""he seems to have a great deal of good-will towards you."""
"There is such perfect good-temper and good-will in Mr. Elton as one cannot but value."""," ""Me!"""
"""Yes,"" said Mr. John Knightley presently, with some slyness, ""he seems to have a great deal of good-will towards you."""," ""Such an imagination has crossed me, I own, Emma; and if it never occurred to you before, you may as well take it into consideration now."""
"she replied with a smile of astonishment, ""are you imagining me to be Mr. Elton's object?"""," ""Mr. Elton in love with me!--What an idea!"""
"""Such an imagination has crossed me, I own, Emma; and if it never occurred to you before, you may as well take it into consideration now."""," ""I do not say it is so; but you will do well to consider whether it is so or not, and to regulate your behaviour accordingly."
"""Mr. Elton in love with me!--What an idea!"""," ""I thank you; but I assure you you are quite mistaken."
"You had better look about you, and ascertain what you do, and what you mean to do.""","and she walked on, amusing herself in the consideration of the blunders which often arise from a partial knowledge of circumstances, of the mistakes which people of high pretensions to judgment are for ever falling into; and not very well pleased with her brother for imagining her blind and ignorant, and in want of counsel."
"The preparing and the going abroad in such weather, with the sacrifice of his children after dinner, were evils, were disagreeables at least, which Mr. John Knightley did not by any means like; he anticipated nothing in the visit that could be at all worth the purchase; and the whole of their drive to the vicarage was spent by him in expressing his discontent."," Emma did not find herself equal to give the pleased assent, which no doubt he was in the habit of receiving, to emulate the ""Very true, my love,"" which must have been usually administered by his travelling companion; but she had resolution enough to refrain from making any answer at all."
"She had sent while dressing, and the answer had been, ""Much the same--not better.""", His face lengthened immediately; and his voice was the voice of sentiment as he answered.
His face lengthened immediately; and his voice was the voice of sentiment as he answered.," Emma smiled and answered--""My visit was of use to the nervous part of her complaint, I hope; but not even I can charm away a sore throat; it is a most severe cold indeed."
Emma smiled and answered--," ""Yes--I imagined--that is--I did not--""  ""He has been used to her in these complaints, and I hope to-morrow morning will bring us both a more comfortable report."
"Mr. Perry has been with her, as you probably heard."""," ""He has been used to her in these complaints, and I hope to-morrow morning will bring us both a more comfortable report."
"""Yes--I imagined--that is--I did not--"""," ""Dreadful!--Exactly so, indeed.--She will be missed every moment."""
"Such a sad loss to our party to-day!""", This was very proper; the sigh which accompanied it was really estimable; but it should have lasted longer.
"Emma was rather in dismay when only half a minute afterwards he began to speak of other things, and in a voice of the greatest alacrity and enjoyment."," ""Yes,"" said John Knightley, ""and I think we shall have a good deal of it."""
"snows a little I see."""," ""Christmas weather,"" observed Mr. Elton."
"""Yes,"" said John Knightley, ""and I think we shall have a good deal of it."""," Mr. John Knightley looked as if he did not comprehend the pleasure, but said only, coolly,  ""I cannot wish to be snowed up a week at Randalls."""
"Mr. John Knightley looked as if he did not comprehend the pleasure, but said only, coolly,"," At another time Emma might have been amused, but she was too much astonished now at Mr. Elton's spirits for other feelings."
Harriet seemed quite forgotten in the expectation of a pleasant party.," ""I know nothing of the large parties of London, sir--I never dine with any body."""
"I think you will agree with me, (turning with a soft air to Emma,) I think I shall certainly have your approbation, though Mr. Knightley perhaps, from being used to the large parties of London, may not quite enter into our feelings."""," ""Indeed!"
"""I know nothing of the large parties of London, sir--I never dine with any body.""","in a tone of wonder and pity,) I had no idea that the law had been so great a slavery."
"(in a tone of wonder and pity,)"," ""My first enjoyment,"" replied John Knightley, as they passed through the sweep-gate, ""will be to find myself safe at Hartfield again."""
"Well, sir, the time must come when you will be paid for all this, when you will have little labour and great enjoyment.""","   CHAPTER XIV   Some change of countenance was necessary for each gentleman as they walked into Mrs. Weston's drawing-room;--Mr. Elton must compose his joyous looks, and Mr. John Knightley disperse his ill-humour."
"Instead of forgetting him, his behaviour was such that she could not avoid the internal suggestion of","-Yet he would be so anxious for her being perfectly warm, would be so interested about her father, and so delighted with Mrs. Weston; and at last would begin admiring her drawings with so much zeal and so little knowledge as seemed terribly like a would-be lover, and made it some effort with her to preserve her good manners."
She heard enough to know that Mr. Weston was giving some information about his son; she heard the words,"repeated several times over; and, from a few other half-syllables very much suspected that he was announcing an early visit from his son; but before she could quiet Mr. Elton, the subject was so completely past that any reviving question from her would have been awkward."
"Weston.--So it proved;--for when happily released from Mr. Elton, and seated by Mr. Weston, at dinner, he made use of the very first interval in the cares of hospitality, the very first leisure from the saddle of mutton, to say to her,", Emma spoke with a very proper degree of pleasure; and fully assented to his proposition of Mr. Frank Churchill and Miss Smith making their party quite complete.
Emma spoke with a very proper degree of pleasure; and fully assented to his proposition of Mr. Frank Churchill and Miss Smith making their party quite complete.," ""What a very great pleasure it will be to you!"
"But now I have no doubt of seeing him here about the second week in January."""," ""Yes, she would be, but that she thinks there will be another put-off."
"and Mrs. Weston is so anxious to be acquainted with him, that she must be almost as happy as yourself.""","nodding towards the upper end of the table) has so few vagaries herself, and has been so little used to them at Hartfield, that she cannot calculate on their effects, as I have been long in the practice of doing."""
"I am as confident of seeing Frank here before the middle of January, as I am of being here myself: but your good friend there (nodding towards the upper end of the table)"," ""I am sorry there should be any thing like doubt in the case,"" replied Emma; ""but am disposed to side with you, Mr. Weston."
"I am as confident of seeing Frank here before the middle of January, as I am of being here myself: but your good friend there (nodding towards the upper end of the table) has so few vagaries herself, and has been so little used to them at Hartfield, that she cannot calculate on their effects, as I have been long in the practice of doing."""," ""Yes--I have some right to that knowledge; though I have never been at the place in my life.--She is an odd woman!--But I never allow myself to speak ill of her, on Frank's account; for I do believe her to be very fond of him."
"If you think he will come, I shall think so too; for you know Enscombe."""," Emma liked the subject so well, that she began upon it, to Mrs. Weston, very soon after their moving into the drawing-room: wishing her joy--yet observing, that she knew the first meeting must be rather alarming.-- Mrs. Weston agreed to it; but added, that she should be very glad to be secure of undergoing the anxiety of a first meeting at the time talked of: ""for I cannot depend upon his coming."
"Emma liked the subject so well, that she began upon it, to Mrs. Weston, very soon after their moving into the drawing-room: wishing her joy--yet observing, that she knew the first meeting must be rather alarming.-- Mrs. Weston agreed to it; but added, that she should be very glad to be secure of undergoing the anxiety of a first meeting at the time talked of:"," ""Yes--it seems to depend upon nothing but the ill-humour of Mrs. Churchill, which I imagine to be the most certain thing in the world."""
"Mr. Weston, I dare say, has been telling you exactly how the matter stands?"""," ""My Emma!"""
"""Yes--it seems to depend upon nothing but the ill-humour of Mrs. Churchill, which I imagine to be the most certain thing in the world.""","Then turning to Isabella, who had not been attending before--""You must know, my dear Mrs. Knightley, that we are by no means so sure of seeing Mr. Frank Churchill, in my opinion, as his father thinks."
"Then turning to Isabella, who had not been attending before--"," ""Oh, Mrs. Churchill; every body knows Mrs. Churchill,"" replied Isabella: ""and I am sure I never think of that poor young man without the greatest compassion."
"Mrs. Churchill rules at Enscombe, and is a very odd-tempered woman; and his coming now, depends upon her being willing to spare him.""", Emma wished she had been alone with Mrs. Weston.
"While he talked to Isabella, however, Emma found an opportunity of saying,"," ""Yes; and every delay makes one more apprehensive of other delays."
"The introduction must be unpleasant, whenever it takes place; and the sooner it could be over, the better."""," ""He ought to come,"" said Emma."
"In short, I can feel no dependence on his coming, and I wish Mr. Weston were less sanguine."""," ""One ought to be at Enscombe, and know the ways of the family, before one decides upon what he can do,"" replied Mrs. Weston."
"A young _woman_, if she fall into bad hands, may be teased, and kept at a distance from those she wants to be with; but one cannot comprehend a young _man_'s being under such restraint, as not to be able to spend a week with his father, if he likes it."""," ""But she is so fond of the nephew: he is so very great a favourite."
"""One ought to use the same caution, perhaps, in judging of the conduct of any one individual of any one family; but Enscombe, I believe, certainly must not be judged by general rules: _she_ is so very unreasonable; and every thing gives way to her."""," ""My dearest Emma, do not pretend, with your sweet temper, to understand a bad one, or to lay down rules for it: you must let it go its own way."
"Now, according to my idea of Mrs. Churchill, it would be most natural, that while she makes no sacrifice for the comfort of the husband, to whom she owes every thing, while she exercises incessant caprice towards _him_, she should frequently be governed by the nephew, to whom she owes nothing at all."""," Emma listened, and then coolly said, ""I shall not be satisfied, unless he comes."""
"Emma listened, and then coolly said,"," ""He may have a great deal of influence on some points,"" continued Mrs. Weston, ""and on others, very little: and among those, on which she is beyond his reach, it is but too likely, may be this very circumstance of his coming away from them to visit us."""
"Emma listened, and then coolly said, ""I shall not be satisfied, unless he comes.""","   CHAPTER XV   Mr. Woodhouse was soon ready for his tea; and when he had drank his tea he was quite ready to go home; and it was as much as his three companions could do, to entertain away his notice of the lateness of the hour, before the other gentlemen appeared."
"He could not be satisfied without a promise--would not she give him her influence in procuring it?"""," Emma saw Mrs. Weston's surprize, and felt that it must be great, at an address which, in words and manner, was assuming to himself the right of first interest in her; and as for herself, she was too much provoked and offended to have the power of directly saying any thing to the purpose."
"She had not time to know how Mr. Elton took the reproof, so rapidly did another subject succeed; for Mr. John Knightley now came into the room from examining the weather, and opened on them all with the information of the ground being covered with snow, and of its still snowing fast, with a strong drifting wind; concluding with these words to Mr. Woodhouse:"," Poor Mr. Woodhouse was silent from consternation; but every body else had something to say; every body was either surprized or not surprized, and had some question to ask, or some comfort to offer."
"Mrs. Weston and Emma tried earnestly to cheer him and turn his attention from his son-in-law, who was pursuing his triumph rather unfeelingly."," Mr. Weston, with triumph of a different sort, was confessing that he had known it to be snowing some time, but had not said a word, lest it should make Mr. Woodhouse uncomfortable, and be an excuse for his hurrying away."
"He wished the road might be impassable, that he might be able to keep them all at Randalls; and with the utmost good-will was sure that accommodation might be found for every body, calling on his wife to agree with him, that with a little contrivance, every body might be lodged, which she hardly knew how to do, from the consciousness of there being but two spare rooms in the house.","was Mr. Woodhouse's first exclamation, and all that he could say for some time."
